occurrence_id,paragraph/table location,claim_text,source_key,source_title,semantic_status,evidence_note,evidence_locator,verification_url,source_page,exact_heading,support_scope,recommended_action
OCC-0001,p_96,"Trong xử lý và phân tích log tự động, các nghiên cứu đối chuẩn của Zhu et al. (2019)  [1]",Zhu2019LogParsing,Tools and Benchmarks for Automated Log Parsing,SUPPORTED,"Zhu et al. (ICSE-SEIP 2019) thiết lập khung đối chuẩn thực nghiệm và đánh giá toàn diện các bộ phân tích cú pháp log tự động, xác lập bài toán tách mẫu định dạng và tham số động trong phân tích log.",https://doi.org/10.1109/ICSE-SEIP.2019.00021 | p. 1-2 | I. INTRODUCTION & II. LOG PARSING FRAMEWORK,https://doi.org/10.1109/ICSE-SEIP.2019.00021,p. 1-2,I. INTRODUCTION & II. LOG PARSING FRAMEWORK,FOUNDATIONAL_BENCHMARK,NONE
OCC-0002,p_96,"Trong xử lý và phân tích log tự động, các nghiên cứu đối chuẩn của Zhu et al. (2019)  [1] và Jiang et al. (2024)  [2]",Jiang2024LogParsingEval,A Large-Scale Evaluation for Log Parsing Techniques: How Far Are We?,SUPPORTED,"Jiang et al. (ISSTA 2024) thực hiện khảo sát và đánh giá thực nghiệm quy mô lớn trên bộ chuẩn Loghub-2.0, chỉ ra các thách thức thực tế về tính bền vững và sự suy giảm hiệu năng của các bộ phân tích cú pháp.",https://doi.org/10.1145/3650212.3652123 | p. 1-3 | 1 INTRODUCTION & 2 BACKGROUND AND MOTIVATION,https://doi.org/10.1145/3650212.3652123,p. 1-3,1 INTRODUCTION & 2 BACKGROUND AND MOTIVATION,LARGE_SCALE_EVALUATION,NONE
OCC-0003,p_109,"Trong các trung tâm điều hành an ninh mạng (SOC), dữ liệu nhật ký hệ điều hành và nhật ký kiểm toán là nguồn bằng chứng trung tâm phục vụ phát hiện, điều tra và đối phó các cuộc tấn công có chủ đích kéo dài  [3]",Inam2023ProvenanceSoK,SoK: History is a Vast Early Warning System: Auditing the Provenance of System Intrusions,SUPPORTED,Inam et al. (S&P 2023) hệ thống hóa vai trò nền tảng của dữ liệu nhật ký hệ điều hành và kiểm toán mức nhân trong các trung tâm SOC để tái dựng đồ thị nguồn gốc phục vụ phát hiện tấn công.,https://doi.org/10.1109/SP46215.2023.10179405 | p. 1-3 | I. INTRODUCTION & II. DATA PROVENANCE PRIMER,https://doi.org/10.1109/SP46215.2023.10179405,p. 1-3,I. INTRODUCTION & II. DATA PROVENANCE PRIMER,SOC_PROVENANCE_TELEMETRY,NONE
OCC-0004,p_109,"Khác với văn bản ngôn ngữ tự nhiên hay tín hiệu hình ảnh, dữ liệu nhật ký có cấu trúc bán cấu trúc, phụ thuộc thứ tự thời gian, phản ánh quan hệ phụ thuộc thực thi giữa các tiến trình và tài nguyên hệ thống, đồng thời mang ngữ nghĩa an ninh chuyên biệt  [4]",Michael2020ForensicValidity,On the Forensic Validity of Approximated Audit Logs,SUPPORTED,"Michael et al. (ACSAC 2020) xác lập đặc tính của dữ liệu nhật ký kiểm toán hệ thống: cấu trúc bán cấu trúc, phụ thuộc trật tự thời gian và phản ánh quan hệ phụ thuộc thực thi mang ngữ nghĩa an ninh chuyên biệt.",https://doi.org/10.1145/3427228.3427272 | p. 1-3 | 1 INTRODUCTION & 2.1 Audit Log Approximation,https://doi.org/10.1145/3427228.3427272,p. 1-3,1 INTRODUCTION & 2.1 Audit Log Approximation,SYSTEM_LOG_CHARACTERIZATION,NONE
OCC-0005,p_109,"Khác với văn bản ngôn ngữ tự nhiên hay tín hiệu hình ảnh, dữ liệu nhật ký có cấu trúc bán cấu trúc, phụ thuộc thứ tự thời gian, phản ánh quan hệ phụ thuộc thực thi giữa các tiến trình và tài nguyên hệ thống, đồng thời mang ngữ nghĩa an ninh chuyên biệt  [4],  [5]",Liu2025DatasetQualityLogs,What We Talk About When We Talk About Logs: Understanding the Effects of Dataset Quality on Endpoint Threat Detection Research,SUPPORTED,"Liu et al. (S&P 2025) phân tích đặc tính không gian dữ liệu nhật ký điểm cuối doanh nghiệp, chứng minh sự khác biệt bản chất so với văn bản tự nhiên và sự ràng buộc chặt chẽ với ngữ nghĩa an ninh hệ thống.",https://doi.org/10.1109/SP61157.2025.00112 | p. 1-3 | 1. Introduction & 2. Endpoint Threat Detection Datasets,https://doi.org/10.1109/SP61157.2025.00112,p. 1-3,1. Introduction & 2. Endpoint Threat Detection Datasets,ENDPOINT_LOG_CHARACTERIZATION,NONE
OCC-0006,p_109,"Mục 1.1 hình thức hóa bài toán biểu diễn đặc trưng nhật ký phục vụ phát hiện tấn công đa giai đoạn, phân tích đặc tính không gian dữ liệu doanh nghiệp, xác lập mô hình hành vi dựa trên ma trận MITRE ATT&CK  [6]",MITRE2026ATTCK,MITRE ATT&CK: Enterprise Tactics and Techniques Matrix (v19.1),SUPPORTED,Khung tri thức MITRE ATT&CK Enterprise hình thức hóa bài toán phát hiện tấn công đa giai đoạn thông qua ma trận chiến thuật (mục tiêu) và kỹ thuật (hành vi thực thi).,https://attack.mitre.org/matrices/enterprise/ | p. 1 (web) | Enterprise Tactics & Techniques Matrix,https://attack.mitre.org/matrices/enterprise/,p. 1 (web),Enterprise Tactics & Techniques Matrix,THREAT_FRAMEWORK_MODELING,NONE
OCC-0007,p_111,Không gian dữ liệu nhật ký trong môi trường mạng doanh nghiệp được tổng hợp từ ba nhóm nguồn dữ liệu chính với cấu trúc và định dạng không đồng nhất  [3],Inam2023ProvenanceSoK,SoK: History is a Vast Early Warning System: Auditing the Provenance of System Intrusions,SUPPORTED,Inam et al. (S&P 2023) mô tả sự tổng hợp không gian dữ liệu từ các nguồn kiểm toán mức hệ thống không đồng nhất phục vụ giám sát doanh nghiệp.,https://doi.org/10.1109/SP46215.2023.10179405 | p. 2-3 | II. DATA PROVENANCE PRIMER (A. Background),https://doi.org/10.1109/SP46215.2023.10179405,p. 2-3,II. DATA PROVENANCE PRIMER (A. Background),ENTERPRISE_TELEMETRY_TAXONOMY,NONE
OCC-0008,p_111,"Không gian dữ liệu nhật ký trong môi trường mạng doanh nghiệp được tổng hợp từ ba nhóm nguồn dữ liệu chính với cấu trúc và định dạng không đồng nhất  [3],  [7]",Zipperle2022PIDSSurvey,Provenance-based Intrusion Detection Systems: A Survey,SUPPORTED,Zipperle et al. (ACM CSUR 2022) tổng kết các nguồn viễn trắc kiểm toán hệ thống từ nhiều tầng thu thập khác nhau trong mạng doanh nghiệp.,https://doi.org/10.1145/3539605 | p. 5-6 | 2.3 Provenance Data Collection and Capture,https://doi.org/10.1145/3539605,p. 5-6,2.3 Provenance Data Collection and Capture,PIDS_DATA_SOURCES,NONE
OCC-0009,p_111,"Trên các hệ thống Linux, các cơ chế thu thập viễn trắc nguồn gốc và kiểm toán mức nhân, như Linux Auditd hoặc eBPF, ghi nhận các sự kiện lời gọi hệ thống, tiêu biểu như khởi tạo tiến trình execve, thao tác tệp tin open, openat, unlink và kết nối mạng connect, accept, để phục vụ điều tra số và xây dựng đồ thị quan hệ nhân quả  [3]",Inam2023ProvenanceSoK,SoK: History is a Vast Early Warning System: Auditing the Provenance of System Intrusions,SUPPORTED,"Inam et al. (S&P 2023) đặc tả chi tiết cơ chế kiểm toán nhân Linux (Auditd) ghi nhận các lời gọi hệ thống (execve, open, openat, unlink, connect, accept) để xây dựng đồ thị nhân quả.",https://doi.org/10.1109/SP46215.2023.10179405 | p. 3-4 | III. PROVENANCE-BASED SYSTEM AUDITING (A. Capture Layer & TABLE I),https://doi.org/10.1109/SP46215.2023.10179405,p. 3-4,III. PROVENANCE-BASED SYSTEM AUDITING (A. Capture Layer & TABLE I),LINUX_KERNEL_AUDIT,NONE
OCC-0010,p_111,"Trên các hệ thống Linux, các cơ chế thu thập viễn trắc nguồn gốc và kiểm toán mức nhân, như Linux Auditd hoặc eBPF, ghi nhận các sự kiện lời gọi hệ thống, tiêu biểu như khởi tạo tiến trình execve, thao tác tệp tin open, openat, unlink và kết nối mạng connect, accept, để phục vụ điều tra số và xây dựng đồ thị quan hệ nhân quả  [3],  [4]",Michael2020ForensicValidity,On the Forensic Validity of Approximated Audit Logs,SUPPORTED,Michael et al. (ACSAC 2020) xác lập cơ sở kiểm toán Linux Auditd trong việc ghi nhận các syscalls để tái dựng vết thực thi nhân quả và phân tích an ninh.,https://doi.org/10.1145/3427228.3427272 | p. 2-3 | 2 BACKGROUND & 2.1 Audit Log Approximation,https://doi.org/10.1145/3427228.3427272,p. 2-3,2 BACKGROUND & 2.1 Audit Log Approximation,LINUX_AUDITD_CAUSALITY,NONE
