occurrence_id,section,paragraph_excerpt,citation_number,resolved_reference_key,resolved_author,resolved_title,named_entity_in_text,syntax_status,identity_status,semantic_status,notes
OCC-0001,Lời nói đầu,", nhưng hạn chế trong việc xử lý biến thể cú pháp và quan hệ dài hạn  [1],  [2]. Các mô hình LSTM, GRU và Transformer được phát triển để học đặ",1,REF-01,"M. A. Inam, Y. Chen, A. Goyal, J. Liu, J. Mink, N. Michael, S. Gaur, A. Bates and W. U. Hassan","SoK: History is a Vast Early Warning System: Auditing the Provenance of System Intrusions,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0002,Lời nói đầu,"g hạn chế trong việc xử lý biến thể cú pháp và quan hệ dài hạn  [1],  [2]. Các mô hình LSTM, GRU và Transformer được phát triển để học đặc trưn",2,REF-02,"N. Michael, J. Mink, J. Liu, S. Gaur, W. U. Hassan and A. Bates","On the Forensic Validity of Approximated Audit Logs,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0003,Bài toán biểu diễn log trong phát hiện tấn công đa giai đoạn,"phát hiện, điều tra và đối phó các cuộc tấn công có chủ đích kéo dài  [1]. Khác với văn bản ngôn ngữ tự nhiên hay tín hiệu hình ảnh, dữ liệu nh",1,REF-01,"M. A. Inam, Y. Chen, A. Goyal, J. Liu, J. Mink, N. Michael, S. Gaur, A. Bates and W. U. Hassan","SoK: History is a Vast Early Warning System: Auditing the Provenance of System Intrusions,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0004,Bài toán biểu diễn log trong phát hiện tấn công đa giai đoạn,"và tài nguyên hệ thống, đồng thời mang ngữ nghĩa an ninh chuyên biệt  [2],  [3]. Mục 1.1 hình thức hóa bài toán biểu diễn đặc trưng nhật ký phụ",2,REF-02,"N. Michael, J. Mink, J. Liu, S. Gaur, W. U. Hassan and A. Bates","On the Forensic Validity of Approximated Audit Logs,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0005,Bài toán biểu diễn log trong phát hiện tấn công đa giai đoạn,"nguyên hệ thống, đồng thời mang ngữ nghĩa an ninh chuyên biệt  [2],  [3]. Mục 1.1 hình thức hóa bài toán biểu diễn đặc trưng nhật ký phục vụ p",3,REF-03,"J. Liu, M. A. Inam, A. Goyal, A. Riddle, K. Westfall and A. Bates","What We Talk About When We Talk About Logs: Understanding the Effects of Dataset Quality on Endpoint Threat Detection Research,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0006,Bài toán biểu diễn log trong phát hiện tấn công đa giai đoạn,"doanh nghiệp, xác lập mô hình hành vi dựa trên ma trận MITRE ATT&CK  [4] và thiết lập Hợp đồng Biểu diễn nhằm bảo toàn các ràng buộc an toàn c",4,REF-04,MITRE Corporation,"MITRE ATT&CK: Enterprise Tactics and Techniques Matrix (v19.1),",MITRE ATT&CK,PASS,FAIL,MANUAL_REVIEW_REQUIRED,"Named entity 'MITRE ATT&CK' bound to [4], expected [6]"
OCC-0007,"Không gian dữ liệu log doanh nghiệp: tốc độ cao, mất cân bằng cực đoan và phân phối biến đổi","a nhóm nguồn dữ liệu chính với cấu trúc và định dạng không đồng nhất  [1],  [5]. Nhóm thứ nhất là nhật ký kiểm toán máy chủ và viễn trắc nguồn",1,REF-01,"M. A. Inam, Y. Chen, A. Goyal, J. Liu, J. Mink, N. Michael, S. Gaur, A. Bates and W. U. Hassan","SoK: History is a Vast Early Warning System: Auditing the Provenance of System Intrusions,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0008,"Không gian dữ liệu log doanh nghiệp: tốc độ cao, mất cân bằng cực đoan và phân phối biến đổi","nguồn dữ liệu chính với cấu trúc và định dạng không đồng nhất  [1],  [5]. Nhóm thứ nhất là nhật ký kiểm toán máy chủ và viễn trắc nguồn gốc. T",5,REF-05,"M. Zipperle, F. Gottwalt, E. Chang and T. S. Dillon","Provenance-based Intrusion Detection Systems: A Survey,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0009,"Không gian dữ liệu log doanh nghiệp: tốc độ cao, mất cân bằng cực đoan và phân phối biến đổi",", accept, để phục vụ điều tra số và xây dựng đồ thị quan hệ nhân quả  [1],  [2]. Trong khi đó, trên môi trường Windows, Microsoft Sysinternals",1,REF-01,"M. A. Inam, Y. Chen, A. Goyal, J. Liu, J. Mink, N. Michael, S. Gaur, A. Bates and W. U. Hassan","SoK: History is a Vast Early Warning System: Auditing the Provenance of System Intrusions,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0010,"Không gian dữ liệu log doanh nghiệp: tốc độ cao, mất cân bằng cực đoan và phân phối biến đổi","pt, để phục vụ điều tra số và xây dựng đồ thị quan hệ nhân quả  [1],  [2]. Trong khi đó, trên môi trường Windows, Microsoft Sysinternals Sysmon",2,REF-02,"N. Michael, J. Mink, J. Liu, S. Gaur, W. U. Hassan and A. Bates","On the Forensic Validity of Approximated Audit Logs,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0011,"Không gian dữ liệu log doanh nghiệp: tốc độ cao, mất cân bằng cực đoan và phân phối biến đổi","chuẩn hóa theo đặc tả kỹ thuật chính thức của Russinovich & Garnier  [6], tiêu biểu gồm: khởi tạo tiến trình (ProcessCreate - Event ID 1), kết",6,REF-06,M. Russinovich and T. Garnier,"Sysmon (System Monitor) - Sysinternals,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0012,"Không gian dữ liệu log doanh nghiệp: tốc độ cao, mất cân bằng cực đoan và phân phối biến đổi",ân tán HDFS cùng các dịch vụ tính toán cụm thuộc bộ benchmark LogHub  [7].,7,REF-07,"J. Zhu, S. He, P. He, J. Liu and M. R. Lyu","Loghub: A Large Collection of System Log Datasets for AI-driven Log Analytics,",Loghub,PASS,FAIL,MANUAL_REVIEW_REQUIRED,"Named entity 'Loghub' bound to [7], expected [9]"
OCC-0013,"Không gian dữ liệu log doanh nghiệp: tốc độ cao, mất cân bằng cực đoan và phân phối biến đổi","nghiệp còn chịu áp lực lớn về mặt thông lượng và tỷ lệ phân bố nhãn  [3],  [8]. Hệ thống tiếp nhận luồng sự kiện liên tục với tốc độ cao, đòi",3,REF-03,"J. Liu, M. A. Inam, A. Goyal, A. Riddle, K. Westfall and A. Bates","What We Talk About When We Talk About Logs: Understanding the Effects of Dataset Quality on Endpoint Threat Detection Research,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0014,"Không gian dữ liệu log doanh nghiệp: tốc độ cao, mất cân bằng cực đoan và phân phối biến đổi","p còn chịu áp lực lớn về mặt thông lượng và tỷ lệ phân bố nhãn  [3],  [8]. Hệ thống tiếp nhận luồng sự kiện liên tục với tốc độ cao, đòi hỏi cơ",8,REF-08,"D. Arp, E. Quiring, F. Pendlebury, A. Warnecke, F. Pierazzi, C. Wressnegger, L. Cavallaro and K. Rieck","Dos and Don'ts of Machine Learning in Computer Security,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0015,"Không gian dữ liệu log doanh nghiệp: tốc độ cao, mất cân bằng cực đoan và phân phối biến đổi","ế xử lý dòng trực tiếp như cách tiếp cận phác họa đồ thị của UNICORN  [9], đồng thời đặt ra yêu cầu kiểm soát tài nguyên bộ nhớ khi theo dõi cá",9,REF-09,"X. Han, T. Pasquier, A. Bates, J. Mickens and M. Seltzer","UNICORN: Runtime Provenance-Based Detector for Advanced Persistent Threats,",UNICORN,PASS,FAIL,MANUAL_REVIEW_REQUIRED,"Named entity 'UNICORN' bound to [9], expected [11]"
OCC-0016,"Không gian dữ liệu log doanh nghiệp: tốc độ cao, mất cân bằng cực đoan và phân phối biến đổi","các thuật toán học máy thông thường có xu hướng bỏ qua nhóm thiểu số  [8]. Bên cạnh đó, hiện tượng sụp đổ chiều biểu diễn có nguy cơ xuất hiện",8,REF-08,"D. Arp, E. Quiring, F. Pendlebury, A. Warnecke, F. Pierazzi, C. Wressnegger, L. Cavallaro and K. Rieck","Dos and Don'ts of Machine Learning in Computer Security,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0017,"Không gian dữ liệu log doanh nghiệp: tốc độ cao, mất cân bằng cực đoan và phân phối biến đổi","hiệp phương sai phù hợp để duy trì độ phong phú của các chiều vector  [10],  [11].",10,REF-10,"A. Bardes, J. Ponce and Y. LeCun","VICReg: Variance-Invariance-Covariance Regularization for Self-Supervised Learning,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
OCC-0018,"Không gian dữ liệu log doanh nghiệp: tốc độ cao, mất cân bằng cực đoan và phân phối biến đổi","ương sai phù hợp để duy trì độ phong phú của các chiều vector  [10],  [11].",11,REF-11,"J. Zbontar, L. Jing, I. Misra, Y. LeCun and S. Deny","Barlow Twins: Self-Supervised Learning via Redundancy Reduction,",NONE,PASS,PASS,MANUAL_REVIEW_REQUIRED,OK
